iter	Passed	Remaining
0	55	55208
1	56	28311
2	58	19439
3	59	14898
4	61	12178
5	62	10348
6	63	9067
7	65	8086
8	66	7339
9	67	6716
10	69	6204
11	70	5780
12	71	5426
13	72	5136
14	74	4870
15	75	4640
16	76	4430
17	77	4243
18	78	4076
19	80	3930
20	81	3819
21	83	3726
22	85	3644
23	87	3566
24	89	3481
25	91	3417
26	93	3351
27	94	3272
28	95	3206
29	97	3136
30	98	3071
31	99	3015
32	101	2973
33	102	2922
34	103	2866
35	105	2813
36	106	2764
37	107	2718
38	108	2677
39	109	2632
40	110	2590
41	111	2550
42	112	2510
43	114	2478
44	115	2456
45	117	2428
46	118	2400
47	119	2372
48	120	2347
49	122	2320
50	123	2300
51	125	2295
52	128	2287
53	129	2272
54	131	2258
55	133	2243
56	134	2227
57	136	2215
58	138	2208
59	140	2196
60	141	2182
61	143	2173
62	147	2196
63	149	2185
64	153	2206
65	154	2190
66	156	2172
67	156	2146
68	157	2129
69	159	2117
70	160	2105
71	162	2093
72	164	2082
73	165	2068
74	166	2053
75	167	2038
76	168	2022
77	170	2010
78	171	1997
79	172	1985
80	173	1971
81	174	1958
82	176	1946
83	178	1941
84	179	1927
85	180	1915
86	181	1900
87	182	1889
88	183	1877
89	184	1866
90	186	1861
91	188	1859
92	189	1851
93	191	1843
94	192	1833
95	193	1822
96	194	1813
97	196	1808
98	198	1805
99	199	1796
100	200	1787
101	201	1772
102	202	1762
103	203	1753
104	205	1747
105	206	1744
106	208	1741
107	210	1735
108	211	1727
109	212	1720
110	213	1711
111	214	1703
112	215	1695
113	217	1690
114	218	1684
115	219	1675
116	221	1670
117	222	1663
118	223	1655
119	224	1648
120	226	1642
121	227	1635
122	227	1624
123	228	1617
124	230	1610
125	231	1606
126	232	1599
127	233	1590
128	234	1584
129	236	1583
130	237	1578
131	239	1572
132	240	1566
133	241	1560
134	242	1554
135	244	1550
136	245	1546
137	246	1539
138	247	1534
139	248	1528
140	250	1524
141	251	1518
142	252	1512
143	253	1507
144	254	1503
145	256	1497
146	257	1492
147	258	1487
148	259	1481
149	260	1476
150	261	1470
151	262	1465
152	263	1460
153	265	1458
154	266	1453
155	267	1448
156	268	1444
157	270	1439
158	271	1434
159	272	1431
160	273	1427
161	275	1423
162	276	1418
163	277	1414
164	278	1409
165	279	1405
166	280	1401
167	282	1397
168	283	1393
169	284	1389
170	285	1385
171	286	1381
172	288	1378
173	289	1374
174	291	1371
175	292	1368
176	293	1364
177	294	1360
178	296	1358
179	297	1356
180	298	1351
181	299	1347
182	301	1344
183	302	1341
184	303	1337
185	304	1333
186	305	1329
187	307	1326
188	308	1323
189	309	1320
190	310	1316
191	312	1313
192	313	1309
193	314	1305
194	315	1301
195	316	1298
196	317	1294
197	318	1290
198	319	1286
199	320	1282
200	321	1279
201	323	1276
202	324	1272
203	325	1270
204	327	1268
205	328	1265
206	329	1262
207	330	1260
208	332	1256
209	333	1253
210	334	1250
211	335	1248
212	336	1245
213	338	1242
214	339	1238
215	340	1235
216	341	1232
217	342	1229
218	344	1226
219	345	1225
220	346	1222
221	347	1218
222	348	1215
223	350	1212
224	351	1209
225	352	1206
226	353	1203
227	354	1200
228	355	1198
229	357	1195
230	358	1192
231	359	1190
232	360	1187
233	362	1185
234	363	1183
235	364	1180
236	365	1177
237	366	1174
238	368	1173
239	369	1170
240	370	1167
241	371	1164
242	373	1162
243	375	1162
244	377	1162
245	379	1163
246	381	1163
247	383	1163
248	384	1160
249	386	1158
250	387	1157
251	389	1156
252	391	1157
253	393	1155
254	394	1153
255	395	1150
256	397	1148
257	398	1146
258	399	1144
259	401	1141
260	402	1138
261	403	1136
262	404	1133
263	405	1130
264	406	1128
265	407	1125
266	409	1124
267	410	1121
268	411	1119
269	413	1118
270	415	1118
271	417	1118
272	419	1117
273	421	1116
274	423	1115
275	424	1114
276	426	1114
277	428	1113
278	430	1111
279	431	1110
280	433	1109
281	435	1108
282	436	1106
283	438	1105
284	439	1103
285	441	1101
286	442	1100
287	444	1098
288	446	1097
289	447	1095
290	449	1094
291	450	1092
292	451	1090
293	455	1093
294	457	1092
295	459	1091
296	460	1090
297	462	1089
298	464	1088
299	465	1087
300	467	1085
301	469	1084
302	470	1082
303	472	1080
304	473	1079
305	475	1077
306	476	1075
307	478	1074
308	481	1076
309	482	1074
310	484	1073
311	486	1072
312	488	1071
313	489	1070
314	491	1069
315	493	1067
316	494	1065
317	496	1064
318	499	1066
319	501	1065
320	502	1063
321	504	1062
322	506	1061
323	507	1059
324	509	1058
325	511	1056
326	512	1054
327	513	1052
328	514	1049
329	515	1047
330	517	1045
331	519	1044
332	520	1043
333	522	1041
334	523	1038
335	524	1036
336	525	1034
337	527	1033
338	528	1030
339	529	1028
340	531	1026
341	532	1024
342	533	1021
343	534	1019
344	535	1017
345	537	1015
346	538	1013
347	539	1010
348	540	1008
349	541	1006
350	543	1004
351	545	1003
352	546	1002
353	548	1000
354	549	999
355	551	996
356	552	994
357	553	992
358	554	990
359	556	988
360	557	986
361	558	984
362	559	982
363	560	979
364	561	977
365	563	975
366	564	973
367	566	972
368	567	970
369	568	968
370	570	966
371	572	966
372	573	964
373	574	962
374	575	959
375	577	957
376	578	955
377	579	953
378	580	951
379	581	949
380	583	947
381	584	945
382	585	943
383	586	941
384	587	939
385	589	937
386	590	935
387	592	933
388	593	931
389	594	929
390	595	927
391	596	925
392	597	923
393	599	922
394	600	919
395	601	917
396	603	915
397	604	915
398	607	914
399	608	912
400	609	911
401	611	908
402	612	906
403	613	904
404	614	902
405	615	900
406	617	899
407	618	897
408	620	896
409	622	895
410	623	893
411	624	891
412	626	890
413	628	889
414	630	888
415	631	886
416	632	884
417	633	882
418	635	880
419	636	879
420	637	877
421	638	875
422	640	873
423	641	871
424	642	869
425	643	866
426	644	865
427	646	863
428	647	861
429	648	859
430	649	857
431	650	855
432	651	853
433	652	851
434	654	849
435	655	848
436	656	846
437	658	844
438	659	842
439	660	841
440	662	840
441	664	838
442	665	836
443	666	835
444	667	833
445	669	831
446	670	829
447	671	827
448	672	825
449	674	823
450	675	821
451	676	820
452	677	818
453	678	816
454	680	814
455	681	813
456	682	811
457	684	809
458	685	807
459	686	805
460	687	804
